,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,ETH-USD,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,
2012-05-30,,,,,,,,,,,,,1331.25,1331.25,1310.760009765625,1313.3199462890625,1313.3199462890625,3534290000.0,20.328571319580078,20.71392822265625,20.234285354614258,20.684642791748047,17.760177612304688,529429600.0
2012-05-31,,,,,,,,,,,,,1313.0899658203125,1319.739990234375,1298.9000244140625,1310.3299560546875,1310.3299560546875,4557620000.0,20.740713119506836,20.76785659790039,20.409286499023438,20.633214950561523,17.716018676757812,491674400.0
2012-06-01,,,,,,,,,,,,,1309.8699951171875,1309.8699951171875,1277.25,1278.0400390625,1278.0400390625,4669350000.0,20.3271427154541,20.451786041259766,20.018571853637695,20.035356521606445,17.202688217163086,520987600.0
2012-06-04,,,,,,,,,,,,,1278.2900390625,1282.550048828125,1266.739990234375,1278.1800537109375,1278.1800537109375,4011960000.0,20.053571701049805,20.26785659790039,19.58928680419922,20.153213500976562,17.303878784179688,556995600.0
2012-06-05,,,,,,,,,,,,,1277.8199462890625,1287.6199951171875,1274.1600341796875,1285.5,1285.5,3403230000.0,20.04535675048828,20.23107147216797,19.940357208251953,20.101070404052734,17.259109497070312,388214400.0
2012-06-06,,,,,,,,,,,,,1285.6099853515625,1315.1300048828125,1285.6099853515625,1315.1300048828125,1315.1300048828125,4268360000.0,20.27750015258789,20.49464225769043,20.196428298950195,20.409286499023438,17.523744583129883,401455600.0
2012-06-07,,,,,,,,,,,,,1316.1500244140625,1329.050048828125,1312.6800537109375,1314.989990234375,1314.989990234375,4258140000.0,20.61750030517578,20.61857032775879,20.375,20.41857147216797,17.53171730041504,379766800.0
2012-06-08,,,,,,,,,,,,,1314.989990234375,1325.81005859375,1307.77001953125,1325.6600341796875,1325.6600341796875,3497190000.0,20.41428565979004,20.735000610351562,20.321428298950195,20.7257137298584,17.795438766479492,347516400.0
2012-06-11,,,,,,,,,,,,,1325.719970703125,1335.52001953125,1307.72998046875,1308.9300537109375,1308.9300537109375,3537530000.0,20.989999771118164,21.01785659790039,20.379642486572266,20.398929595947266,17.51485824584961,591264800.0
2012-06-12,,,,,,,,,,,,,1309.4000244140625,1324.31005859375,1306.6199951171875,1324.1800537109375,1324.1800537109375,3442920000.0,20.516429901123047,20.593570709228516,20.239286422729492,20.5771427154541,17.66787338256836,435380400.0
2012-06-13,,,,,,,,,,,,,1324.02001953125,1327.280029296875,1310.510009765625,1314.8800048828125,1314.8800048828125,3506510000.0,20.518571853637695,20.65999984741211,20.37071418762207,20.43428611755371,17.545207977294922,293580000.0
2012-06-14,,,,,,,,,,,,,1314.8800048828125,1333.6800537109375,1314.1400146484375,1329.0999755859375,1329.0999755859375,3687720000.0,20.40142822265625,20.48214340209961,20.259286880493164,20.411785125732422,17.52589225769043,345573200.0
2012-06-15,,,,,,,,,,,,,1329.18994140625,1343.3199462890625,1329.18994140625,1342.8399658203125,1342.8399658203125,4401570000.0,20.39285659790039,20.52214241027832,20.3410701751709,20.504642486572266,17.605621337890625,335255200.0
